TYPE,Precision,Recall,f1-score,support
Healthy,0.97,1,0.98,143
Late Blight,0.98,0.93,0.96,153
Early Blight,0.96,1,0.97,125
micro avg,0.97,0.97,0.97,421
macro avg,0.97,0.97,0.97,421
weighted avg,0.97,0.97,0.97,421
